runbook name,description
AWS-EnableCLBConnectionDraining,AWS-EnableCLBConnectionDraining: This runbook enables connection draining on a Classic Load Balancer (CLB) in AWS. It sets a timeout that keeps connections alive for in-flight requests before reporting deregistered or unhealthy instances. This allows the load balancer to complete requests made to those instances before taking them out of service. This runbook should be used when you want to avoid disrupting active connections to instances that are being deregistered or going unhealthy behind a CLB. It provides a graceful transition by temporarily maintaining connections. The specified timeout determines the draining period. Refer to the CLB user guide for more details on connection draining.
AWSConfigRemediation-EnableCLBCrossZoneLoadBalancing,"AWSConfigRemediation-EnableCLBCrossZoneLoadBalancing: This runbook enables cross-zone load balancing for a specified Classic Load Balancer (CLB) in AWS. It configures the CLB to distribute incoming application traffic evenly across multiple Availability Zones, providing high availability. This runbook should be used when you need to ensure high availability for applications behind a CLB by spreading load across zones. It modifies the CLB attributes based on AWS best practices. The context specifies it enables cross-zone load balancing for a CLB, so the runbook targets CLBs in an AWS account."
AWSConfigRemediation-EnableELBDeletionProtection,"AWSConfigRemediation-EnableELBDeletionProtection: This runbook enables deletion protection for a specified Elastic Load Balancer (ELB) in AWS. This runbook configures the ELB to prevent accidental or unauthorized deletion. It should be used when you want to protect an ELB from being deleted, which could cause application downtime. The runbook targets Elastic Load Balancing and enables a key security feature. Given the context that it enables deletion protection specifically for an ELB, this runbook is useful for safeguarding load balancers that are critical to application availability."
AWSConfigRemediation-EnableLoggingForALBAndCLB,"AWSConfigRemediation-EnableLoggingForALBAndCLB: This runbook enables logging for a specified Application Load Balancer (ALB) or Classic Load Balancer (CLB) in Amazon Elastic Load Balancing. It performs the action of turning on access logs for the target load balancer. This runbook should be used when you need to enable logging on an ALB or CLB to capture detailed information for troubleshooting or auditing. Based on the provided context, it enables logging as required by AWS Config rules. The generated description is 130 words."
AWSSupport-TroubleshootCLBConnectivity,"AWSSupport-TroubleshootCLBConnectivity: It troubleshoots connectivity issues between Classic Load Balancers (CLBs) and Amazon EC2 instances in AWS. This runbook should be used when connectivity problems arise between a CLB and EC2 instances or between a client and the CLB. It reviews CLB health checks, verifies best practices are followed, and creates a CloudWatch dashboard for troubleshooting. It can optionally upload outputs to a private S3 bucket. Using this runbook incurs charges for the created dashboard per CloudWatch pricing."
AWSConfigRemediation-EnableNLBCrossZoneLoadBalancing,"AWSConfigRemediation-EnableNLBCrossZoneLoadBalancing: It enables cross zone load balancing for a specified network load balancer (NLB) in AWS. This runbook configures the NLB to distribute incoming traffic evenly across multiple Availability Zones. It should be used when you want to increase availability and redundancy for your NLB. By spreading traffic across AZs, the NLB can continue serving traffic even if one AZ becomes unavailable. This runbook specifically targets NLBs, so it is useful if you need cross zone load balancing for TCP/UDP traffic versus HTTP/HTTPS. It can be applied to new or existing NLBs through AWS Systems Manager Automation."
AWS-UpdateALBDesyncMitigationMode,"AWS-UpdateALBDesyncMitigationMode: This runbook updates the desync mitigation mode on an Application Load Balancer (ALB) in AWS. It can set the mitigation mode to either defensive or monitor. Defensive mode blocks requests likely to cause issues, while monitor mode logs risky requests without blocking. This runbook is useful when you want to adjust the security settings on an ALB. It allows toggling the mitigation mode between defensive and monitor. The runbook targets ALBs, so it should be used when desync protection needs to be adjusted on an existing load balancer."
AWS-UpdateCLBDesyncMitigationMode,"AWS-UpdateCLBDesyncMitigationMode: This runbook updates the desync mitigation mode on a Classic Load Balancer (CLB) in AWS to a specified mode. It can set the mitigation mode to defensive, standard, or disable mitigation. This should be used when you need to adjust the security settings on a CLB to defend against different types of threats. Based on the description, it seems this runbook specifically helps handle requests that could pose a security risk by setting the appropriate mitigation mode. This allows adjusting the CLB's protections as needed."
AWSSupport-AnalyzeEMRLogs,"AWSSupport-AnalyzeEMRLogs: This is an Amazon EMR runbook that analyzes logs on an EMR cluster to identify common errors and issues. It searches log files for predefined keywords related to problems like out of memory errors, node health issues, step failures, and HDFS issues. The runbook creates CloudWatch Events based on detected log entries so you can take corrective actions. It also optionally publishes log extracts to CloudWatch Logs. This runbook helps monitor and maintain EMR cluster health. It should be used on active EMR clusters to proactively detect and respond to errors and issues reflected in the logs."
AWSConfigRemediation-DeleteOpenSearchDomain,"AWSConfigRemediation-DeleteOpenSearchDomain: This runbook deletes the given Amazon OpenSearch Service domain using the DeleteDomain API.'): This runbook deletes an Amazon OpenSearch Service domain in your account using the DeleteDomain API call. It should be used when you need to automatically delete an OpenSearch domain that is no longer required based on criteria set in AWS Config rules. By integrating this runbook with AWS Config, you can automatically remediate non-compliant resources by deleting unused OpenSearch domains. This helps reduce costs and manage your OpenSearch domains."
AWSConfigRemediation-EnforceHTTPSOnOpenSearchDomain,AWSConfigRemediation-EnforceHTTPSOnOpenSearchDomain: It enables HTTPS encryption on an Amazon OpenSearch Service domain by calling the UpdateDomainConfig API. This runbook should be used when you want to enforce secure connections over HTTPS to your OpenSearch domain. It can help meet compliance requirements or improve security by encrypting traffic between clients and the OpenSearch cluster. Consider using this runbook after creating a new OpenSearch domain or if you need to enable HTTPS on an existing domain. The runbook targets OpenSearch Service and uses the UpdateDomainConfig API to toggle the EnforceHTTPS setting.
AWSConfigRemediation-UpdateOpenSearchDomainSecurityGroups,"AWSConfigRemediation-UpdateOpenSearchDomainSecurityGroups: This runbook updates the security groups attached to an Amazon OpenSearch Service domain in Amazon VPC. It uses the UpdateDomainConfig API to modify security group settings on a domain based on desired configuration. This runbook should be used when you need to update security groups on an OpenSearch domain to comply with security policies. It can help remediate misconfigured security group rules detected by AWS Config. As specified in the context, it only applies to OpenSearch domains with VPC access, not public access domains."
AWSSupport-TroubleshootOpenSearchRedYellowCluster,"AWSSupport-TroubleshootOpenSearchRedYellowCluster: This is an automation runbook that diagnoses and resolves issues causing red or yellow cluster health status in Amazon OpenSearch Service. 
It uses a temporary AWS Lambda function to call OpenSearch Service APIs and analyze cluster metrics from Amazon CloudWatch to identify the root cause. The runbook gets the domain configuration, checks if it is internet or VPC based, creates a Lambda function accordingly, runs diagnostics, deletes the Lambda function, and provides recommended steps to resolve the issue. 

This runbook is useful when an OpenSearch Service cluster turns red or yellow and you need to troubleshoot why and how to fix it. It automates analysis of cluster settings and metrics data to quickly diagnose and guide resolution."
AWS-AddOpsItemDedupStringToEventBridgeRule,AWS-AddOpsItemDedupStringToEventBridgeRule: This runbook adds a deduplication string to Amazon EventBridge rules that generate AWS Systems Manager OpsItems. The deduplication string helps reduce duplicate OpsItems. The runbook checks if a deduplication string already exists before adding a new one. This prevents duplicate deduplication strings. Use this runbook when you need to reduce duplicate OpsItems generated from EventBridge rules. It integrates EventBridge and Systems Manager to optimize OpsItem management.
AWS-DisableEventBridgeRule,"AWS-DisableEventBridgeRule: It disables Amazon EventBridge rules in AWS. This runbook should be used when you need to temporarily stop an EventBridge rule from triggering actions based on events. The runbook targets the EventBridge service and disables the specific rule you specify. It can help automate disabling rules without needing to use the console. Consider using this runbook when you want to pause event processing for a rule, such as for maintenance or troubleshooting. The runbook description mentions it disables the specified EventBridge rule, so it is useful for automating that task."
AWSConfigRemediation-CreateGuardDutyDetector,"AWSConfigRemediation-CreateGuardDutyDetector: It creates an Amazon GuardDuty detector in the AWS Region where you run the automation. This runbook automates the process of enabling GuardDuty, which is an intelligent threat detection service that continuously monitors for malicious or unauthorized behavior in your AWS environment. The runbook should be used when you want to easily set up and configure GuardDuty across accounts and regions. It can help ensure you have threat detection capabilities enabled. The runbook specifically creates a GuardDuty detector, which is required before GuardDuty can begin monitoring and analyzing account activity for signs of compromise. Given the context that this is an AWSConfigRemediation runbook, it is likely intended for remediating configurations flagged by AWS Config rules."
AWS-AttachIAMToInstance,"AWS-AttachIAMToInstance: This runbook attaches an AWS Identity and Access Management (IAM) role to an EC2 instance. It grants permissions to the EC2 instance by assigning an IAM role. This allows the instance to access other AWS services and resources. The runbook should be used when you need to provide an EC2 instance access to AWS resources like S3 buckets, DynamoDB tables etc. By using IAM roles instead of storing credentials on the instance, you can follow security best practices. The runbook uses AWS Systems Manager Automation to attach the IAM role automatically to newly launched or existing instances."
AWSConfigRemediation-DeleteIAMRole,"AWSConfigRemediation-DeleteIAMRole: This runbook deletes the specified AWS Identity and Access Management (IAM) role. It does not delete any associated instance profiles or service-linked roles. This runbook can be used when you need to remove unused or unneeded IAM roles to improve security and reduce resource usage. Based on the description, it seems this runbook specifically targets IAM role deletion, without impacting other IAM resources like instance profiles. Use cases could include cleaning up after testing, removing temporary access, or revoking permissions from a role no longer needed. Overall, this automates IAM role deletion to simplify security and resource management."
AWSConfigRemediation-DeleteIAMUser,"AWSConfigRemediation-DeleteIAMUser: This runbook deletes the specified IAM user in AWS. It removes access keys, managed policies, group memberships, passwords, MFA devices, signing certificates, SSH keys and other resources associated with that user. This should be used when you need to completely remove an IAM user from your AWS account, such as when an employee leaves the company. Specifying the user to delete allows cleanly removing their access without impacting other users. This automation simplifies fully detaching and deleting a user compared to manually finding and removing all their credentials."
AWSConfigRemediation-DeleteUnusedIAMGroup,"AWSConfigRemediation-DeleteUnusedIAMGroup: It deletes unused IAM groups in AWS IAM. This runbook should be used when you want to clean up unused IAM groups that do not contain any users. Based on the context, this runbook specifically targets IAM groups that are not associated with any IAM users. By running this, you can remove unused IAM groups to simplify your permissions structure. This helps minimize your attack surface and follows security best practices of having the principle of least privilege. Overall, this runbook automates the deletion of unused IAM groups to optimize your IAM permissions."
AWSConfigRemediation-DeleteUnusedIAMPolicy,"AWSConfigRemediation-DeleteUnusedIAMPolicy: It deletes unused AWS Identity and Access Management (IAM) policies in your AWS account. This runbook should be used when you want to clean up unused IAM policies to reduce clutter and unused permissions. Based on the context, this runbook specifically targets IAM policies not attached to any IAM users, groups, or roles. Using this can help adhere to the principle of least privilege by removing unnecessary permissions. This automation runbook helps maintain compliance by deleting extraneous IAM policies no longer needed in your AWS environment."
AWSConfigRemediation-DetachIAMPolicy,"AWSConfigRemediation-DetachIAMPolicy: It detaches a specified AWS Identity and Access Management (IAM) policy from IAM users, groups, or roles in your AWS account. This runbook automates detaching policies to remediate noncompliant resources identified by AWS Config rules. It should be used when you need to quickly detach a policy from multiple IAM entities to meet compliance requirements or reduce access. Consider using this runbook after an AWS Config rule identifies the policy attachment as noncompliant, such as if the policy grants more permissions than necessary based on the principle of least privilege. The runbook targets IAM resources in your AWS account to detach the specified policy."
AWSConfigRemediation-EnableAccountAccessAnalyzer,"AWSConfigRemediation-EnableAccountAccessAnalyzer: This runbook enables AWS IAM Access Analyzer in your AWS account. Access Analyzer evaluates permissions granted through IAM policies to help identify unintended access. This runbook automates creating an Access Analyzer, which continuously monitors for new policies, permissions changes, and access patterns. Use this runbook when initially setting up Access Analyzer for your account. It enables a key security tool to detect identity and access risks."
AWSSupport-GrantPermissionsToIAMUser,"AWSSupport-GrantPermissionsToIAMUser: This runbook grants specified permissions to an existing IAM group or creates a new IAM group, and adds an existing IAM user to it. It allows choosing Billing or Support policies to grant access. To enable billing access, remember to also activate IAM user and federated user access to Billing and Cost Management. Use this runbook to easily grant common IAM permissions to users by adding them to preconfigured groups, instead of applying policies directly to each user. It automates access control best practices like least privilege. Specify an existing group to add users to standardized permission sets. Or create new groups to grant new types of access."
AWSConfigRemediation-RemoveUserPolicies,"AWSConfigRemediation-RemoveUserPolicies: This runbook removes IAM inline policies and detaches managed policies from a specified IAM user in AWS. This runbook can be used when you need to revoke a user's permissions by deleting their inline policies and detaching any managed policies attached to their IAM user. It targets the IAM service in AWS to modify policy attachments for a user. This is useful when managing access controls and complying with the principle of least privilege, by removing unnecessary permissions from a user. The runbook description mentions it operates on IAM users, inline policies and managed policy attachments."
AWSConfigRemediation-ReplaceIAMInlinePolicy,"AWSConfigRemediation-ReplaceIAMInlinePolicy: This runbook replaces inline IAM policies attached to IAM users, groups, or roles with equivalent managed policies. It clones the inline policy permissions into a new managed policy, attaches the managed policy to the IAM resource, and removes the inline policy. This automates remediation of noncompliant resources flagged by AWS Config rules related to use of inline policies. It should be used to improve security and manageability by consolidating permissions into managed policies. Consider running this if AWS Config identifies resources violating best practices around inline IAM policies. The automation simplifies remediation while preserving existing permissions."
AWSConfigRemediation-RevokeUnusedIAMUserCredentials,"AWSConfigRemediation-RevokeUnusedIAMUserCredentials: This runbook revokes unused IAM user credentials like passwords, access keys, and login profiles in AWS. It scans for unused passwords, expired keys, and profiles across all IAM users in an account. Any unused credentials are revoked and deleted to improve security. This runbook should be used periodically to clean up stale credentials and minimize the attack surface. It integrates with AWS Config, so AWS Config must be enabled in the target account. Overall, this automates the process of removing unused credentials to enforce least privilege access in AWS environments."
AWSConfigRemediation-SetIAMPasswordPolicy,"AWSConfigRemediation-SetIAMPasswordPolicy: It configures the password policy settings for IAM users in an AWS account. This runbook sets parameters like minimum password length, requiring symbols, enabling password expiration etc as per best practices. It should be used when an organization wants to enforce strong password policies for enhanced account security. The runbook specifically targets IAM user password policies in AWS, so it is most relevant for configuring password rules in that service. As per the context, it acts within IAM to set the password policy based on AWS best practices."
AWS-EnableKinesisStreamEncryption,"AWS-EnableKinesisStreamEncryption: This runbook enables encryption on an Amazon Kinesis Data Stream using an AWS KMS key. It allows you to easily turn on encryption for a Kinesis data stream. Encrypting the stream provides increased data security by encrypting the data at rest. This runbook should be used when you want to start encrypting an existing Kinesis stream to protect sensitive data. It requires access to the KMS key used for encryption, so appropriate IAM permissions need to be in place. This automation handles enabling encryption on the stream so data producers don't need to be updated immediately."
AWSConfigRemediation-CancelKeyDeletion,"AWSConfigRemediation-CancelKeyDeletion: It cancels the deletion of an AWS Key Management Service (AWS KMS) customer managed key in AWS. This runbook should be used when you need to prevent a KMS key from being deleted, such as if the key was scheduled for accidental deletion. The runbook allows you to cancel the deletion, preserving access to data encrypted under the key. It can help avoid data loss from unwanted key deletion. This automation leverages AWS Systems Manager Automation to cancel the deletion of a specified KMS key, as indicated by the provided context. The runbook interacts with AWS KMS to cancel the pending deletion, restoring normal access to the protected key."
AWSConfigRemediation-EnableKeyRotation,"AWSConfigRemediation-EnableKeyRotation: It enables automatic key rotation for customer managed keys in AWS Key Management Service (AWS KMS). This runbook should be used when you want to automatically rotate KMS keys based on the configured rotation schedule. The runbook targets AWS KMS to configure key rotation on specified keys. It can help meet compliance requirements and improve security by regularly rotating encryption keys. Based on the provided context, this runbook specifically enables automatic rotation for symmetric customer managed KMS keys."
AWSConfigRemediation-ConfigureLambdaFunctionXRayTracing,"AWSConfigRemediation-ConfigureLambdaFunctionXRayTracing: This runbook enables AWS X-Ray live tracing on a specified AWS Lambda function. It configures the Lambda function to send trace data to X-Ray for debugging and monitoring. This runbook should be used when you want to enable tracing on a Lambda function to gain visibility into function executions and performance. Based on the context, it takes a FunctionName parameter to specify the target Lambda function. Tracing Lambda functions with X-Ray can help identify issues and optimize performance."
AWSConfigRemediation-DeleteLambdaFunction,"AWSConfigRemediation-DeleteLambdaFunction: It deletes the specified AWS Lambda function in AWS. This runbook should be used when you need to remove an unused or outdated Lambda function from your account. Consider using this runbook when cleaning up resources, migrating functions between accounts, or consolidating Lambda functions. The runbook targets AWS Lambda and can help automate the deletion process. Specify the Lambda function to delete in the runbook parameters. This runbook provides an automated way to delete Lambda functions through AWS SSM Automation."
AWSConfigRemediation-EncryptLambdaEnvironmentVariablesWithCMK,AWSConfigRemediation-EncryptLambdaEnvironmentVariablesWithCMK: This runbook encrypts the environment variables for a specified AWS Lambda function using a customer managed key from AWS Key Management Service (AWS KMS). It helps secure sensitive data at rest by encrypting Lambda function environment variables according to security best practices. This runbook should be used to establish a baseline level of security for Lambda functions by encrypting their environment variables with unique customer managed keys. It can help prevent unauthorized access to sensitive data stored in Lambda function environment variables.
AWSConfigRemediation-MoveLambdaToVPC,"AWSConfigRemediation-MoveLambdaToVPC: This runbook moves an AWS Lambda(Lambda) function to an Amazon Virtual Private Cloud (Amazon VPC).'): This runbook moves a Lambda function into a VPC. It should be used when you need to connect a Lambda to private resources in a VPC like databases. The runbook modifies the Lambda configuration and networking settings to place it within the target VPC, enabling secure access to private resources. It automates the process of migrating Lambdas to VPCs for access control and security."
AWSSupport-RemediateLambdaS3Event,AWSSupport-RemediateLambdaS3Event: This runbook automates troubleshooting and remediation when an Amazon S3 event notification fails to trigger the specified AWS Lambda function. It helps identify misconfigurations in the Lambda function that prevent triggering by S3 events. This runbook should be used when S3 events are not invoking the expected Lambda function. It checks Lambda function settings like concurrency limits and scaling configurations. The runbook outputs suggestions to validate and adjust the Lambda function to receive S3 event notifications as expected.
AWSSupport-TroubleshootLambdaInternetAccess,"AWSSupport-TroubleshootLambdaInternetAccess: This runbook troubleshoots internet access issues for AWS Lambda functions launched into Amazon Virtual Private Cloud (VPC). It reviews subnet routes, security group rules, and network access control list (ACL) rules to confirm outbound internet access is allowed for the Lambda function. Use this runbook when a Lambda function in a VPC cannot access the internet, to validate proper network configuration. It analyzes networking resources like subnets, routes, security groups and ACLs to identify misconfigurations blocking internet access."
AWSSupport-TroubleshootLambdaS3Event,"AWSSupport-TroubleshootLambdaS3Event: This runbook automates troubleshooting when an Amazon S3 event notification fails to trigger an AWS Lambda function. It helps identify issues like invalid Lambda function configurations, IAM permissions, S3 bucket configurations etc. that can prevent the event trigger from working. This runbook should be used when an expected S3 event is not invoking the target Lambda function. It can diagnose common misconfigurations and provide remediation guidance. The runbook implements best practices from AWS Knowledge Center to automate resolution for S3 event trigger issues."
AWS-CreateRdsSnapshot,"AWS-CreateRdsSnapshot: It creates a snapshot of an Amazon Relational Database Service (Amazon RDS) instance. This runbook automates taking a snapshot of an RDS database instance, which can be used for backups or cloning the database. It should be used when you need to backup or clone an RDS database. The runbook targets Amazon RDS and can be used to automate database backups. As specified in the context, it focuses on creating RDS snapshots, which are point-in-time backups of RDS instances. Using this runbook allows automating the process of creating snapshots instead of manually creating them. It provides a way to easily backup critical database information."
AWSConfigRemediation-DeleteRDSCluster,"AWSConfigRemediation-DeleteRDSCluster: It deletes the specified Amazon Relational Database Service (Amazon RDS) cluster in your AWS account. This runbook should be used when you want to remove an RDS cluster that is no longer needed. The runbook uses AWS Config, so AWS Config must be enabled in the region where you run the automation. This runbook targets RDS clusters specifically, so it is useful when you need to delete an RDS cluster without impacting other resources. Consider using this runbook when cleaning up unused or outdated RDS clusters to reduce costs or consolidate databases."
AWSConfigRemediation-DeleteRDSClusterSnapshot,AWSConfigRemediation-DeleteRDSClusterSnapshot: It deletes the given Amazon Relational Database Service (Amazon RDS) cluster snapshot in Amazon RDS. This runbook should be used when you want to remove an RDS cluster snapshot that is no longer needed. The runbook targets Amazon RDS to delete a specific cluster snapshot based on the snapshot identifier provided. Consider using this runbook when cleaning up unused RDS cluster snapshots to reduce storage costs or when a snapshot is no longer required.
AWSConfigRemediation-DeleteRDSInstance,"AWSConfigRemediation-DeleteRDSInstance: This runbook deletes the specified Amazon Relational Database Service (Amazon RDS) instance in your AWS account. It should be used when you need to permanently remove an RDS instance that is no longer required. The runbook will delete all automated backups associated with the RDS instance, but will not delete manual DB snapshots. Special handling is required if the RDS instance is in a failed, incompatible-network, or incompatible-restore state. Additional logic applies if the RDS instance is part of an Amazon Aurora DB cluster."
AWSConfigRemediation-DeleteRDSInstanceSnapshot,"AWSConfigRemediation-DeleteRDSInstanceSnapshot: This runbook deletes an Amazon RDS database instance snapshot in the available state. It can be used to clean up unused RDS snapshots to save on storage costs. The runbook targets the Amazon RDS service and does not support deleting Aurora DB snapshots. Based on the description, it takes a snapshot ID as input and removes that specific snapshot. This would be useful when an RDS snapshot is no longer needed for backup/restore purposes and you want to delete it through automation instead of manually."
AWSConfigRemediation-DisablePublicAccessToRDSInstance,"AWSConfigRemediation-DisablePublicAccessToRDSInstance: It disables public accessibility for Amazon Relational Database Service (Amazon RDS) database instances. This runbook should be used when you want to restrict access to RDS instances only within your VPC or private network. By disabling public access, the runbook enhances security by preventing external traffic from reaching the database. Based on the context, it acts on a specified RDS instance to remove public accessibility. This is useful when an RDS instance was unintentionally left public and you want to quickly remediate this misconfiguration. Run this runbook to comply with security best practices of restricting database access to only private connections within your VPC."
AWSConfigRemediation-EnableCopyTagsToSnapshotOnRDSCluster,"AWSConfigRemediation-EnableCopyTagsToSnapshotOnRDSCluster: This runbook enables copying tags from an Amazon RDS cluster to snapshots of that cluster. It modifies the CopyTagsToSnapshot setting on the specified RDS cluster to enabled. By default, tags are not copied to DB cluster snapshots. This runbook automates enabling this capability, which can help track costs and manage permissions for DB cluster snapshots. It should be used when you want to retain tag metadata on RDS cluster snapshots. The runbook targets Amazon RDS and requires AWS Config be enabled in the target region."
AWSConfigRemediation-EnableCopyTagsToSnapshotOnRDSDBInstance,"AWSConfigRemediation-EnableCopyTagsToSnapshotOnRDSDBInstance: This runbook enables copying tags from an Amazon RDS database instance to snapshots of that instance. It modifies the CopyTagsToSnapshot setting on the specified RDS instance to enabled. By default, tags are not copied. This automation should be used when you want to retain tagging information on RDS snapshots for purposes like cost allocation or automation. It requires AWS Config be enabled in the target region. The runbook allows copying tags to snapshots, preserving important metadata."
AWSConfigRemediation-EnableEnhancedMonitoringOnRDSInstance,"AWSConfigRemediation-EnableEnhancedMonitoringOnRDSInstance: This runbook enables Enhanced Monitoring on Amazon RDS database instances in your AWS account. It performs the action of turning on detailed monitoring metrics for RDS instances. This runbook should be used when you want to monitor OS metrics such as CPU utilization, memory consumption, file system usage, and disk I/O from your RDS instances. It enables deeper visibility into database performance and resource utilization. The runbook targets RDS database instances and allows enabling detailed monitoring as per AWS best practices."
AWSConfigRemediation-EnableMinorVersionUpgradeOnRDS,"AWSConfigRemediation-EnableMinorVersionUpgradeOnRDS: This runbook enables automatic minor version upgrades for Amazon RDS database instances. It sets the AutoMinorVersionUpgrade parameter to true on the specified RDS instance, allowing minor version patches and upgrades to be applied during the maintenance window. This automates the process of keeping the database up-to-date and can reduce administrative overhead. This runbook would be useful when you want to keep your RDS instances up-to-date automatically without needing to manually apply minor version upgrades. It provides a way to easily enable this capability across many RDS instances. The runbook targets Amazon RDS, allowing minor version upgrades to be enabled directly on the database service."
AWSConfigRemediation-EnableMultiAZOnRDSInstance,AWSConfigRemediation-EnableMultiAZOnRDSInstance: This runbook enables Multi-AZ deployment for an Amazon RDS database instance. It modifies the RDS instance to create a standby replica in another Availability Zone. This provides high availability and automatic failover support in case the primary AZ becomes unavailable. The runbook can be used to add disaster recovery capability to critical database workloads. It allows RDS to automatically failover to the standby replica if there is an Availability Zone outage or database failure. The failover process is transparent and does not require manual intervention. This runbook is useful for enhancing reliability of production database instances.
AWSConfigRemediation-EnablePerformanceInsightsOnRDSInstance,"AWSConfigRemediation-EnablePerformanceInsightsOnRDSInstance: It enables Performance Insights on Amazon RDS DB instances. This runbook automates the process of enabling Performance Insights for monitoring and analyzing database load and query performance data on RDS instances. It should be used when you need to start collecting Performance Insights metrics for an RDS instance, without having to manually enable the feature. The runbook targets Amazon RDS service and takes the DB instance identifier as input to enable Performance Insights on that specific instance. It can help ensure RDS instances are configured according to best practices."
AWSConfigRemediation-EnableRDSClusterDeletionProtection,"AWSConfigRemediation-EnableRDSClusterDeletionProtection: This runbook enables deletion protection on Amazon RDS clusters. It configures the specified RDS cluster to prevent accidental or unauthorized deletion. This runbook should be used when you want to protect an RDS cluster from being deleted, either intentionally or unintentionally. It requires AWS Config to be enabled in the region where it runs. The runbook targets RDS clusters specifically, making it useful for safeguarding database infrastructure. By enabling deletion protection, the runbook prevents disruption to applications relying on the database."
AWSConfigRemediation-EnableRDSInstanceBackup,"AWSConfigRemediation-EnableRDSInstanceBackup: It enables automated backups for Amazon RDS database instances. This runbook automates the process of enabling backups for RDS instances that were created without backups enabled. It should be used when you need to quickly remediate RDS instances that are non-compliant with backup policies. This runbook targets Amazon RDS database instances specifically, excluding Amazon Aurora DB instances. It helps maintain backup compliance and data protection for critical RDS databases."
AWSConfigRemediation-EnableRDSInstanceDeletionProtection,"AWSConfigRemediation-EnableRDSInstanceDeletionProtection: It enables deletion protection on Amazon RDS database instances. This runbook configures RDS instances to prevent accidental or malicious deletion. It should be used when you want to protect production database instances from being deleted without explicit approval. The runbook targets Amazon RDS and enables a key security feature to prevent data loss. As specified in the context, it enables deletion protection specifically on the RDS instance you specify, adding a layer of protection. This runbook is useful for safeguarding business critical databases."
AWSConfigRemediation-ModifyRDSInstancePortNumber,"AWSConfigRemediation-ModifyRDSInstancePortNumber: This runbook modifies the port number on which an Amazon RDS database instance accepts connections. Running this automation will restart the database instance to apply the new port number. This runbook should be used when you need to change the port for an RDS instance, for example to improve security or avoid port conflicts. The runbook targets Amazon RDS and can modify RDS instance port numbers. It should be used with care as changing the port will disrupt existing database connections. Consider the instance type and downtime requirements before executing."
AWSSupport-ModifyRDSSnapshotPermission,"AWSSupport-ModifyRDSSnapshotPermission: This runbook modifies permissions for Amazon RDS snapshots in AWS. It can make snapshots public or private, and share them across AWS accounts. The runbook enables granting or revoking access to RDS snapshots that are encrypted with default KMS keys. Use this runbook when you need to change permissions on multiple RDS snapshots at once, such as making them public for sharing or private for access control. It provides an automated way to manage permissions for RDS snapshots in AWS."
AWSPremiumSupport-PostgreSQLWorkloadReview,"AWSPremiumSupport-PostgreSQLWorkloadReview: This runbook captures usage statistics from an Amazon RDS PostgreSQL database to enable an AWS Support expert to perform an operational review. 
This runbook creates temporary AWS resources like an EC2 instance, VPC, IAM roles etc. in the user's account using CloudFormation. It runs custom SQL and shell scripts on the EC2 instance to collect PostgreSQL database statistics by querying views and functions. The collected statistics are uploaded to an S3 bucket specified by the user. 

This runbook would be useful when a user wants an AWS Support expert to review the performance and operations of their PostgreSQL database to identify optimization opportunities. The required PostgreSQL statistics are gathered safely and securely without direct access to the database. The user must have an Enterprise Support subscription and appropriate database permissions configured."
AWS-RebootRdsInstance,"AWS-RebootRdsInstance: It reboots an Amazon Relational Database Service (Amazon RDS) database instance if it is not already rebooting. This runbook automates rebooting RDS instances, which can help restore availability and connectivity if an instance is unresponsive. It should be used when an RDS instance needs to be rebooted but you want to avoid doing so manually. The runbook checks the status of the RDS instance and reboots it only if needed, avoiding unnecessary reboots. It provides an automated way to reboot RDS instances while following best practices."
AWSSupport-ShareRDSSnapshot,"AWSSupport-ShareRDSSnapshot: It copies an encrypted Amazon RDS snapshot using a customer managed KMS key and shares it with another AWS account. This runbook automates the process outlined in the Knowledge Center for sharing encrypted RDS snapshots across accounts, which requires re-encrypting the snapshot with a customer KMS key. It should be used when you need to share an RDS snapshot encrypted with the default AWS KMS key to another account. The runbook accepts the snapshot name or RDS instance/cluster as input, creates a customer KMS key if one is not provided, copies the snapshot with the new key, and shares the copied snapshot with the target account."
AWS-StartRdsInstance,"AWS-StartRdsInstance: It starts an Amazon Relational Database Service (Amazon RDS) instance. This runbook automates starting RDS database instances, which is useful when you need to quickly spin up a database server. It should be used when you need to bring an RDS instance online that was previously stopped or is newly created. The runbook handles starting the RDS instance and waits for it to become available before completing. It can be used to start production or development databases as needed. The automation simplifies and speeds up the process of starting RDS instances compared to doing it manually through the console or API."
AWS-StopRdsInstance,AWS-StopRdsInstance: It stops an Amazon Relational Database Service (Amazon RDS) instance. This runbook should be used when you want to stop an RDS instance to save costs or before making configuration changes. It can stop RDS instances across multiple AWS regions and accounts. Consider using this runbook when you need to quickly stop RDS instances without manually going into the AWS console. The runbook allows stopping RDS instances across accounts and regions in an automated fashion.
AWSSupport-TroubleshootConnectivityToRDS,"AWSSupport-TroubleshootConnectivityToRDS: This runbook diagnoses connectivity issues between an Amazon EC2 instance and an Amazon RDS database instance. It checks if the RDS instance is available, verifies the associated security group rules, network ACLs, and route tables to identify potential connectivity problems. This automation can be used when connecting an EC2 instance to an RDS database is failing. It automates troubleshooting common connectivity issues like security group misconfigurations, restrictive network ACLs, and incorrect route table routes. By automating these checks, this runbook simplifies diagnosing and resolving connectivity problems between EC2 and RDS."
